    0.00000D+00,    0.00000D+00
    0.10000D-01,    0.22236D+05
    0.20000D-01,    0.44472D+05
    0.30000D-01,    0.66709D+05
    0.40000D-01,    0.88945D+05
    0.50000D-01,    0.11118D+06
    0.60000D-01,    0.13342D+06
    0.70000D-01,    0.15565D+06
    0.80000D-01,    0.17789D+06
    0.90000D-01,    0.20013D+06
    0.10000D+00,    0.22236D+06
    0.11000D+00,    0.24460D+06
    0.12000D+00,    0.26683D+06
    0.13000D+00,    0.28907D+06
    0.14000D+00,    0.31131D+06
    0.15000D+00,    0.33354D+06
    0.16000D+00,    0.35578D+06
    0.17000D+00,    0.37802D+06
    0.18000D+00,    0.40025D+06
    0.19000D+00,    0.42249D+06
    0.20000D+00,    0.44472D+06
    0.21000D+00,    0.46696D+06
    0.22000D+00,    0.48920D+06
    0.23000D+00,    0.51143D+06
    0.24000D+00,    0.53367D+06
    0.25000D+00,    0.55591D+06
    0.26000D+00,    0.57814D+06
    0.27000D+00,    0.60038D+06
    0.28000D+00,    0.62261D+06
    0.29000D+00,    0.64485D+06
    0.30000D+00,    0.66709D+06
    0.31000D+00,    0.68932D+06
    0.32000D+00,    0.71156D+06
    0.33000D+00,    0.73380D+06
    0.34000D+00,    0.75603D+06
    0.35000D+00,    0.77827D+06
    0.36000D+00,    0.80050D+06
    0.37000D+00,    0.82274D+06
    0.38000D+00,    0.84498D+06
    0.39000D+00,    0.86721D+06
    0.40000D+00,    0.88945D+06
    0.41000D+00,    0.91169D+06
    0.42000D+00,    0.93392D+06
    0.43000D+00,    0.95616D+06
    0.44000D+00,    0.97839D+06
    0.45000D+00,    0.10006D+07
    0.46000D+00,    0.10229D+07
    0.47000D+00,    0.10451D+07
    0.48000D+00,    0.10673D+07
    0.49000D+00,    0.10896D+07
    0.50000D+00,    0.11118D+07
    0.51000D+00,    0.11340D+07
    0.52000D+00,    0.11563D+07
    0.53000D+00,    0.11785D+07
    0.54000D+00,    0.12008D+07
    0.55000D+00,    0.12230D+07
    0.56000D+00,    0.12452D+07
    0.57000D+00,    0.12675D+07
    0.58000D+00,    0.12897D+07
    0.59000D+00,    0.13119D+07
    0.60000D+00,    0.13342D+07
    0.61000D+00,    0.13564D+07
    0.62000D+00,    0.13786D+07
    0.63000D+00,    0.14009D+07
    0.64000D+00,    0.14231D+07
    0.65000D+00,    0.14454D+07
    0.66000D+00,    0.14676D+07
    0.67000D+00,    0.14898D+07
    0.68000D+00,    0.15121D+07
    0.69000D+00,    0.15343D+07
    0.70000D+00,    0.15565D+07
    0.71000D+00,    0.15788D+07
    0.72000D+00,    0.16010D+07
    0.73000D+00,    0.16232D+07
    0.74000D+00,    0.16455D+07
    0.75000D+00,    0.16677D+07
    0.76000D+00,    0.16900D+07
    0.77000D+00,    0.17122D+07
    0.78000D+00,    0.17344D+07
    0.79000D+00,    0.17567D+07
    0.80000D+00,    0.17789D+07
    0.81000D+00,    0.18011D+07
    0.82000D+00,    0.18234D+07
    0.83000D+00,    0.18456D+07
    0.84000D+00,    0.18678D+07
    0.85000D+00,    0.18901D+07
    0.86000D+00,    0.19123D+07
    0.87000D+00,    0.19346D+07
    0.88000D+00,    0.19568D+07
    0.89000D+00,    0.19790D+07
    0.90000D+00,    0.20013D+07
    0.91000D+00,    0.20235D+07
    0.92000D+00,    0.20457D+07
    0.93000D+00,    0.20680D+07
    0.94000D+00,    0.20902D+07
    0.95000D+00,    0.21124D+07
    0.96000D+00,    0.21347D+07
    0.97000D+00,    0.21569D+07
    0.98000D+00,    0.21792D+07
    0.99000D+00,    0.22014D+07
    0.10000D+01,    0.22236D+07
    0.10100D+01,    0.22459D+07
    0.10200D+01,    0.22681D+07
    0.10300D+01,    0.22903D+07
    0.10400D+01,    0.23126D+07
    0.10500D+01,    0.23348D+07
    0.10600D+01,    0.23570D+07
    0.10700D+01,    0.23793D+07
    0.10800D+01,    0.24015D+07
    0.10900D+01,    0.24237D+07
    0.11000D+01,    0.24460D+07
    0.11100D+01,    0.24682D+07
    0.11200D+01,    0.24905D+07
    0.11300D+01,    0.25127D+07
    0.11400D+01,    0.25349D+07
    0.11500D+01,    0.25572D+07
    0.11600D+01,    0.25794D+07
    0.11700D+01,    0.26016D+07
    0.11800D+01,    0.26239D+07
    0.11900D+01,    0.26461D+07
    0.12000D+01,    0.26683D+07
    0.12100D+01,    0.26906D+07
    0.12200D+01,    0.27128D+07
    0.12300D+01,    0.27351D+07
    0.12400D+01,    0.27573D+07
    0.12500D+01,    0.27795D+07
    0.12600D+01,    0.28018D+07
    0.12700D+01,    0.28240D+07
    0.12800D+01,    0.28462D+07
    0.12900D+01,    0.28685D+07
    0.13000D+01,    0.28907D+07
    0.13100D+01,    0.29129D+07
    0.13200D+01,    0.29352D+07
    0.13300D+01,    0.29574D+07
    0.13400D+01,    0.29797D+07
    0.13500D+01,    0.30019D+07
    0.13600D+01,    0.30241D+07
    0.13700D+01,    0.30464D+07
    0.13800D+01,    0.30686D+07
    0.13900D+01,    0.30908D+07
    0.14000D+01,    0.31131D+07
    0.14100D+01,    0.31353D+07
    0.14200D+01,    0.31575D+07
    0.14300D+01,    0.31798D+07
    0.14400D+01,    0.32020D+07
    0.14500D+01,    0.32243D+07
    0.14600D+01,    0.32465D+07
    0.14700D+01,    0.32687D+07
    0.14800D+01,    0.32910D+07
    0.14900D+01,    0.33132D+07
    0.15000D+01,    0.33354D+07
    0.15100D+01,    0.33577D+07
    0.15200D+01,    0.33799D+07
    0.15300D+01,    0.34021D+07
    0.15400D+01,    0.34244D+07
    0.15500D+01,    0.34466D+07
    0.15600D+01,    0.34689D+07
    0.15700D+01,    0.34911D+07
    0.15800D+01,    0.35133D+07
    0.15900D+01,    0.35356D+07
    0.16000D+01,    0.35578D+07
    0.16100D+01,    0.35800D+07
    0.16200D+01,    0.36023D+07
    0.16300D+01,    0.36245D+07
    0.16400D+01,    0.36467D+07
    0.16500D+01,    0.36690D+07
    0.16600D+01,    0.36912D+07
    0.16700D+01,    0.37135D+07
    0.16800D+01,    0.37357D+07
    0.16900D+01,    0.37579D+07
    0.17000D+01,    0.37802D+07
    0.17100D+01,    0.38024D+07
    0.17200D+01,    0.38246D+07
    0.17300D+01,    0.38469D+07
    0.17400D+01,    0.38691D+07
    0.17500D+01,    0.38913D+07
    0.17600D+01,    0.39136D+07
    0.17700D+01,    0.39358D+07
    0.17800D+01,    0.39580D+07
    0.17900D+01,    0.39803D+07
    0.18000D+01,    0.40025D+07
    0.18100D+01,    0.40248D+07
